[sound:sherlock_yack_01_0020.mp4] -  find out [...] sure look who bashed the  ; find out before sure look who bashed the <br> kangaroo <br>; sherlock_yack_01
[sound:sherlock_yack_01_0088.mp4] -  see how it [...]  ; see how it works <br> sure why not I don't get it <br>; sherlock_yack_01
[sound:sherlock_yack_01_0090.mp4] -  sure why not I [...] get it  ; sure why not I don't get it <br> I hit my training bag like I always do <br>; sherlock_yack_01
[sound:sherlock_yack_01_0092.mp4] -  I hit my training [...] like I always do  ; I hit my training bag like I always do <br> anyway clay so my hand went crack <br>; sherlock_yack_01
[sound:sherlock_yack_01_0094.mp4] -  anyway clay so my [...] went crack  ; anyway clay so my hand went crack <br> usually the bag goes boom not <br>; sherlock_yack_01
[sound:sherlock_yack_01_0096.mp4] -  usually the bag [...] boom not  ; usually the bag goes boom not <br> clang-clang you say indeed clang what do <br>; sherlock_yack_01
[sound:sherlock_yack_01_0098.mp4] -  clang-clang you [...] indeed clang what do  ; clang-clang you say indeed clang what do <br> you fill this bag with horsehair my <br>; sherlock_yack_01
[sound:sherlock_yack_01_0100.mp4] -  you fill this bag [...] horsehair my  ; you fill this bag with horsehair my <br> manager takes care of that you're <br>; sherlock_yack_01
[sound:sherlock_yack_01_0102.mp4] -  manager takes [...] of that you're  ; manager takes care of that you're <br> referring to the old horse I fired him <br>; sherlock_yack_01
[sound:sherlock_yack_01_0104.mp4] -  referring to the old [...] I fired him  ; referring to the old horse I fired him <br> yesterday that old nut and bang wait <br>; sherlock_yack_01
[sound:sherlock_yack_01_0106.mp4] -  yesterday [...] old nut and bang wait  ; yesterday that old nut and bang wait <br> I'll give you a hand by all the trees <br>; sherlock_yack_01
[sound:sherlock_yack_01_0108.mp4] -  I'll give you a [...] by all the trees  ; I'll give you a hand by all the trees <br> don't bother I picked up heavier ones <br>; sherlock_yack_01
[sound:sherlock_yack_01_0110.mp4] -  by all [...] trees and all of those uh huh  ; by all the trees and all of those uh huh <br> sorry Hermione I seem to have lost <br>; sherlock_yack_01
[sound:sherlock_yack_01_0112.mp4] -  sorry Hermione I [...] to have lost  ; sorry Hermione I seem to have lost <br> control for a second there but thanks to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0114.mp4] -  control for a second [...] but thanks to  ; control for a second there but thanks to <br> you the mystery is clearing up yes it's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0116.mp4] -  you the [...] is clearing up yes it's  ; you the mystery is clearing up yes it's <br> the weapon that was used the bag has <br>; sherlock_yack_01
[sound:sherlock_yack_01_0118.mp4] -  the weapon that was [...] the bag has  ; the weapon that was used the bag has <br> spoken someone set a trap for you to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0120.mp4] -  spoken someone set a [...] for you to  ; spoken someone set a trap for you to <br> knock you out of the competition what <br>; sherlock_yack_01
[sound:sherlock_yack_01_0122.mp4] -  knock you [...] of the competition what  ; knock you out of the competition what <br> competition the big boxing competition <br>; sherlock_yack_01
[sound:sherlock_yack_01_0124.mp4] -  competition the [...] boxing competition  ; competition the big boxing competition <br> to win this hmm what is that huh <br>; sherlock_yack_01
[sound:sherlock_yack_01_0126.mp4] -  to win this hmm [...] is that huh  ; to win this hmm what is that huh <br> sorry I meant this the championship belt <br>; sherlock_yack_01
[sound:sherlock_yack_01_0128.mp4] -  sorry I meant [...] the championship belt  ; sorry I meant this the championship belt <br> and every year bang boom <br>; sherlock_yack_01
[sound:sherlock_yack_01_0130.mp4] -  and [...] year bang boom  ; and every year bang boom <br> I'm the one who wins it but this time <br>; sherlock_yack_01
[sound:sherlock_yack_01_0132.mp4] -  I'm the one who [...] it but this time  ; I'm the one who wins it but this time <br> looks like I'm a loser I need to know <br>; sherlock_yack_01
[sound:sherlock_yack_01_0134.mp4] -  looks like I'm a [...] I need to know  ; looks like I'm a loser I need to know <br> who your fiercest adversaries are the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0136.mp4] -  who [...] fiercest adversaries are the  ; who your fiercest adversaries are the <br> terrible Chi in the gorilla they're <br>; sherlock_yack_01
[sound:sherlock_yack_01_0138.mp4] -  [...] Chi in the gorilla they're  ; terrible Chi in the gorilla they're <br> pretty good but they can't match me it <br>; sherlock_yack_01
[sound:sherlock_yack_01_0140.mp4] -  [...] good but they can't match me it  ; pretty good but they can't match me it <br> drives them crazy well well seven always <br>; sherlock_yack_01
[sound:sherlock_yack_01_0142.mp4] -  [...] them crazy well well seven always  ; drives them crazy well well seven always <br> monkeying around you makes you want to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0144.mp4] -  monkeying [...] you makes you want to  ; monkeying around you makes you want to <br> hit something so what's going on buddy <br>; sherlock_yack_01
[sound:sherlock_yack_01_0146.mp4] -  hit [...] so what's going on buddy  ; hit something so what's going on buddy <br> someone messed around with a punching <br>; sherlock_yack_01
[sound:sherlock_yack_01_0148.mp4] -  someone messed [...] with a punching  ; someone messed around with a punching <br> bag so crack that's bad look just before <br>; sherlock_yack_01
[sound:sherlock_yack_01_0150.mp4] -  bag so crack [...] bad look just before  ; bag so crack that's bad look just before <br> the championship by the way gorilla <br>; sherlock_yack_01
[sound:sherlock_yack_01_0152.mp4] -  the championship by the [...] gorilla  ; the championship by the way gorilla <br> you're supposed to fight kangaroo right <br>; sherlock_yack_01
[sound:sherlock_yack_01_0154.mp4] -  you're [...] to fight kangaroo right  ; you're supposed to fight kangaroo right <br> that's right <br>; sherlock_yack_01
[sound:sherlock_yack_01_0156.mp4] -  that's [...]  ; that's right <br> they say you never win against him is <br>; sherlock_yack_01
[sound:sherlock_yack_01_0158.mp4] -  they say you [...] win against him is  ; they say you never win against him is <br> that true too true buddy you're not very <br>; sherlock_yack_01
[sound:sherlock_yack_01_0160.mp4] -  that true too [...] buddy you're not very  ; that true too true buddy you're not very <br> strong that's why not very strong check <br>; sherlock_yack_01
[sound:sherlock_yack_01_0162.mp4] -  strong [...] why not very strong check  ; strong that's why not very strong check <br> it that's strong enough for you hmm and <br>; sherlock_yack_01
[sound:sherlock_yack_01_0164.mp4] -  it that's [...] enough for you hmm and  ; it that's strong enough for you hmm and <br> this huh Oh <br>; sherlock_yack_01
[sound:sherlock_yack_01_0166.mp4] -  and I [...] you think this is easy  ; and I suppose you think this is easy <br> alright alright to believe you you're <br>; sherlock_yack_01
[sound:sherlock_yack_01_0168.mp4] -  alright alright to [...] you you're  ; alright alright to believe you you're <br> very strong that's for sure but you've <br>; sherlock_yack_01
[sound:sherlock_yack_01_0170.mp4] -  very strong that's for [...] but you've  ; very strong that's for sure but you've <br> never beaten kangaroo yeah thing is I'm <br>; sherlock_yack_01
[sound:sherlock_yack_01_0172.mp4] -  never beaten kangaroo yeah [...] is I'm  ; never beaten kangaroo yeah thing is I'm <br> not fast enough to begin <br>; sherlock_yack_01
[sound:sherlock_yack_01_0174.mp4] -  not [...] enough to begin  ; not fast enough to begin <br> I may be super strong but I can't hit <br>; sherlock_yack_01
[sound:sherlock_yack_01_0176.mp4] -  I may be [...] strong but I can't hit  ; I may be super strong but I can't hit <br> him mm-hmm <br>; sherlock_yack_01
[sound:sherlock_yack_01_0178.mp4] -  him mm-hmm  ; him mm-hmm <br> so his broken hand helps you out that's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0180.mp4] -  so his broken hand [...] you out that's  ; so his broken hand helps you out that's <br> true but I like to win honestly horse <br>; sherlock_yack_01
[sound:sherlock_yack_01_0182.mp4] -  true but I like to win [...] horse  ; true but I like to win honestly horse <br> you stuck in punching balls and stuff <br>; sherlock_yack_01
[sound:sherlock_yack_01_0184.mp4] -  you stuck in punching [...] and stuff  ; you stuck in punching balls and stuff <br> like that it's not my thing <br>; sherlock_yack_01
[sound:sherlock_yack_01_0186.mp4] -  like that it's not my [...]  ; like that it's not my thing <br> perfect let's go Hermione we're moving <br>; sherlock_yack_01
[sound:sherlock_yack_01_0188.mp4] -  [...] let's go Hermione we're moving  ; perfect let's go Hermione we're moving <br> right ahead <br>; sherlock_yack_01
[sound:sherlock_yack_01_0190.mp4] -  [...] ahead  ; right ahead <br> let's go see the other suspects oh my <br>; sherlock_yack_01
[sound:sherlock_yack_01_0192.mp4] -  [...] go see the other suspects oh my  ; let's go see the other suspects oh my <br> foot I think you're gonna have to drive <br>; sherlock_yack_01
[sound:sherlock_yack_01_0194.mp4] -  foot I [...] you're gonna have to drive  ; foot I think you're gonna have to drive <br> again are you sure you don't mind me <br>; sherlock_yack_01
[sound:sherlock_yack_01_0196.mp4] -  again are you [...] you don't mind me  ; again are you sure you don't mind me <br> driving your present like this all the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0198.mp4] -  driving your [...] like this all the  ; driving your present like this all the <br> time to be perfectly honest I'm <br>; sherlock_yack_01
[sound:sherlock_yack_01_0200.mp4] -  time to be [...] honest I'm  ; time to be perfectly honest I'm <br> embarrassed glass <br>; sherlock_yack_01
[sound:sherlock_yack_01_0202.mp4] -  take it easy you are [...] hog that's  ; take it easy you are road hog that's <br> right you almost rolled right over my <br>; sherlock_yack_01
[sound:sherlock_yack_01_0204.mp4] -  right you almost rolled [...] over my  ; right you almost rolled right over my <br> feet that's right he was hit on the head <br>; sherlock_yack_01
[sound:sherlock_yack_01_0206.mp4] -  feet that's right he was [...] on the head  ; feet that's right he was hit on the head <br> too many times as a boxer so his memory <br>; sherlock_yack_01
[sound:sherlock_yack_01_0208.mp4] -  too many times as a [...] so his memory  ; too many times as a boxer so his memory <br> isn't what it used to be and I thank you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0210.mp4] -  isn't what it used to be and I [...] you  ; isn't what it used to be and I thank you <br> to stay polite back in my day people <br>; sherlock_yack_01
[sound:sherlock_yack_01_0212.mp4] -  to stay polite back in my day [...]  ; to stay polite back in my day people <br> were more respectful of Oh <br>; sherlock_yack_01
[sound:sherlock_yack_01_0214.mp4] -  were more [...] of Oh  ; were more respectful of Oh <br> an old horse no the driving laws I've <br>; sherlock_yack_01
[sound:sherlock_yack_01_0216.mp4] -  an old horse no the [...] laws I've  ; an old horse no the driving laws I've <br> been told kangaroo fired you yesterday <br>; sherlock_yack_01
[sound:sherlock_yack_01_0218.mp4] -  been told kangaroo [...] you yesterday  ; been told kangaroo fired you yesterday <br> it's true <br>; sherlock_yack_01
[sound:sherlock_yack_01_0220.mp4] -  it's true  ; it's true <br> it's a blender that's right to think I <br>; sherlock_yack_01
[sound:sherlock_yack_01_0222.mp4] -  it's a blender [...] right to think I  ; it's a blender that's right to think I <br> taught him everything that kangaroo <br>; sherlock_yack_01
[sound:sherlock_yack_01_0224.mp4] -  taught him everything [...] kangaroo  ; taught him everything that kangaroo <br> quarte and that's how he thanks me hmm <br>; sherlock_yack_01
[sound:sherlock_yack_01_0226.mp4] -  quarte and [...] how he thanks me hmm  ; quarte and that's how he thanks me hmm <br> tell me do all these horseshoes belong <br>; sherlock_yack_01
[sound:sherlock_yack_01_0228.mp4] -  tell me do all [...] horseshoes belong  ; tell me do all these horseshoes belong <br> to you there are ones they don't work <br>; sherlock_yack_01
[sound:sherlock_yack_01_0230.mp4] -  to you there are [...] they don't work  ; to you there are ones they don't work <br> anymore I'm moving them out and what do <br>; sherlock_yack_01
[sound:sherlock_yack_01_0232.mp4] -  anymore I'm [...] them out and what do  ; anymore I'm moving them out and what do <br> you do with them I use them for my <br>; sherlock_yack_01
[sound:sherlock_yack_01_0234.mp4] -  you do with [...] I use them for my  ; you do with them I use them for my <br> secret passion good luck charms no <br>; sherlock_yack_01
[sound:sherlock_yack_01_0236.mp4] -  secret passion good [...] charms no  ; secret passion good luck charms no <br> monument Lord hmm I see can you clear <br>; sherlock_yack_01
[sound:sherlock_yack_01_0238.mp4] -  monument Lord hmm I [...] can you clear  ; monument Lord hmm I see can you clear <br> the road now please I see your foot is <br>; sherlock_yack_01
[sound:sherlock_yack_01_0240.mp4] -  the road now [...] I see your foot is  ; the road now please I see your foot is <br> feeling better oh you can finally use <br>; sherlock_yack_01
[sound:sherlock_yack_01_0242.mp4] -  feeling better oh you can [...] use  ; feeling better oh you can finally use <br> your new car that's true but on the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0244.mp4] -  your new car that's [...] but on the  ; your new car that's true but on the <br> other hand you take such pleasure in <br>; sherlock_yack_01
[sound:sherlock_yack_01_0246.mp4] -  other hand you take such [...] in  ; other hand you take such pleasure in <br> driving I wouldn't want to deprive you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0248.mp4] -  driving I wouldn't [...] to deprive you  ; driving I wouldn't want to deprive you <br> of it it looks like you don't like my <br>; sherlock_yack_01
[sound:sherlock_yack_01_0250.mp4] -  of it it [...] like you don't like my  ; of it it looks like you don't like my <br> present ha ha don't be silly <br>; sherlock_yack_01
[sound:sherlock_yack_01_0252.mp4] -  present ha ha [...] be silly  ; present ha ha don't be silly <br> as my old master ball of purity used to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0254.mp4] -  as my old master [...] of purity used to  ; as my old master ball of purity used to <br> say in his infinite wisdom let's rock <br>; sherlock_yack_01
[sound:sherlock_yack_01_0256.mp4] -  say in his infinite [...] let's rock  ; say in his infinite wisdom let's rock <br> and roll <br>; sherlock_yack_01
[sound:sherlock_yack_01_0258.mp4] -  of course I [...] your gift it's a very  ; of course I like your gift it's a very <br> beautiful car it's just that I don't <br>; sherlock_yack_01
[sound:sherlock_yack_01_0260.mp4] -  beautiful car [...] just that I don't  ; beautiful car it's just that I don't <br> have my driver's license and you didn't <br>; sherlock_yack_01
[sound:sherlock_yack_01_0262.mp4] -  have my driver's [...] and you didn't  ; have my driver's license and you didn't <br> want to tell me so as not to disappoint <br>; sherlock_yack_01
[sound:sherlock_yack_01_0264.mp4] -  want to [...] me so as not to disappoint  ; want to tell me so as not to disappoint <br> me hmm brilliant deduction oh that's a <br>; sherlock_yack_01
[sound:sherlock_yack_01_0266.mp4] -  me hmm [...] deduction oh that's a  ; me hmm brilliant deduction oh that's a <br> cute if you want I could give you some <br>; sherlock_yack_01
[sound:sherlock_yack_01_0268.mp4] -  cute if you [...] I could give you some  ; cute if you want I could give you some <br> driving lessons mm-hmm <br>; sherlock_yack_01
[sound:sherlock_yack_01_0270.mp4] -  huh so this is the [...] Chi Oh  ; huh so this is the terrible Chi Oh <br> you're interrupting my workout what do <br>; sherlock_yack_01
[sound:sherlock_yack_01_0272.mp4] -  you're interrupting my [...] what do  ; you're interrupting my workout what do <br> you want I just have a brief question <br>; sherlock_yack_01
[sound:sherlock_yack_01_0274.mp4] -  you want I just have a [...] question  ; you want I just have a brief question <br> for you mr. wah wah clone show me those <br>; sherlock_yack_01
[sound:sherlock_yack_01_0276.mp4] -  for you mr. wah wah [...] show me those  ; for you mr. wah wah clone show me those <br> gloves come and get him if you're it yet <br>; sherlock_yack_01
[sound:sherlock_yack_01_0278.mp4] -  haha  ; haha <br> that terrible cheater I'd say your <br>; sherlock_yack_01
[sound:sherlock_yack_01_0280.mp4] -  that terrible cheater I'd [...] your  ; that terrible cheater I'd say your <br> lesson you're hearing Jack perfect now I <br>; sherlock_yack_01
[sound:sherlock_yack_01_0282.mp4] -  lesson you're hearing Jack [...] now I  ; lesson you're hearing Jack perfect now I <br> know who the culprit is what about you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0284.mp4] -  know who the [...] is what about you  ; know who the culprit is what about you <br> young detective if you followed the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0286.mp4] -  young detective if you [...] the  ; young detective if you followed the <br> investigation closely I'm sure you'll <br>; sherlock_yack_01
[sound:sherlock_yack_01_0288.mp4] -  investigation [...] I'm sure you'll  ; investigation closely I'm sure you'll <br> find it let's recap someone put some old <br>; sherlock_yack_01
[sound:sherlock_yack_01_0290.mp4] -  find it let's [...] someone put some old  ; find it let's recap someone put some old <br> horseshoes in the kangaroos punching bag <br>; sherlock_yack_01
[sound:sherlock_yack_01_0292.mp4] -  horseshoes in the [...] punching bag  ; horseshoes in the kangaroos punching bag <br> then they hooked it back up when the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0294.mp4] -  then they hooked it [...] up when the  ; then they hooked it back up when the <br> kangaroo tried to work out he broke his <br>; sherlock_yack_01
[sound:sherlock_yack_01_0296.mp4] -  kangaroo tried to [...] out he broke his  ; kangaroo tried to work out he broke his <br> hand on the bag who does the crime <br>; sherlock_yack_01
[sound:sherlock_yack_01_0298.mp4] -  hand on the bag who [...] the crime  ; hand on the bag who does the crime <br> benefit the kangaroo has three enemies <br>; sherlock_yack_01
[sound:sherlock_yack_01_0300.mp4] -  benefit the [...] has three enemies  ; benefit the kangaroo has three enemies <br> the old horse the gorilla and the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0302.mp4] -  the old horse the [...] and the  ; the old horse the gorilla and the <br> Chihuahua but only one of them was able <br>; sherlock_yack_01
[sound:sherlock_yack_01_0304.mp4] -  Chihuahua but [...] one of them was able  ; Chihuahua but only one of them was able <br> to put together the trap half you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0306.mp4] -  to put together the [...] half you  ; to put together the trap half you <br> guessed who the culprit is the case is <br>; sherlock_yack_01
[sound:sherlock_yack_01_0308.mp4] -  guessed who the [...] is the case is  ; guessed who the culprit is the case is <br> simple you old horse are furious with <br>; sherlock_yack_01
[sound:sherlock_yack_01_0310.mp4] -  simple you old [...] are furious with  ; simple you old horse are furious with <br> kangaroo for having fired you and you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0312.mp4] -  kangaroo for having [...] you and you  ; kangaroo for having fired you and you <br> have plenty of horseshoes around that's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0314.mp4] -  have plenty of [...] around that's  ; have plenty of horseshoes around that's <br> crazy I'm ma cutie that's right no <br>; sherlock_yack_01
[sound:sherlock_yack_01_0316.mp4] -  crazy I'm ma [...] that's right no  ; crazy I'm ma cutie that's right no <br> innocent mmm-hmm you Chihuahua or a <br>; sherlock_yack_01
[sound:sherlock_yack_01_0318.mp4] -  innocent mmm-hmm [...] Chihuahua or a  ; innocent mmm-hmm you Chihuahua or a <br> little cheat you stick horseshoes in <br>; sherlock_yack_01
[sound:sherlock_yack_01_0320.mp4] -  little cheat you [...] horseshoes in  ; little cheat you stick horseshoes in <br> your gloves to be able to beat your <br>; sherlock_yack_01
[sound:sherlock_yack_01_0322.mp4] -  your gloves to be [...] to beat your  ; your gloves to be able to beat your <br> adversaries as for you gorilla even if <br>; sherlock_yack_01
[sound:sherlock_yack_01_0324.mp4] -  adversaries as for you [...] even if  ; adversaries as for you gorilla even if <br> you're strong kangaroo beat you every <br>; sherlock_yack_01
[sound:sherlock_yack_01_0326.mp4] -  you're strong kangaroo [...] you every  ; you're strong kangaroo beat you every <br> time <br>; sherlock_yack_01
[sound:sherlock_yack_01_0328.mp4] -  time  ; time <br> how far would you go to win the <br>; sherlock_yack_01
[sound:sherlock_yack_01_0330.mp4] -  how far would you [...] to win the  ; how far would you go to win the <br> championship belt I've already told you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0332.mp4] -  championship belt I've [...] told you  ; championship belt I've already told you <br> buddy I have nothing to do with those <br>; sherlock_yack_01
[sound:sherlock_yack_01_0334.mp4] -  buddy I have [...] to do with those  ; buddy I have nothing to do with those <br> two fools I like to win honestly that's <br>; sherlock_yack_01
[sound:sherlock_yack_01_0336.mp4] -  two fools I like to [...] honestly that's  ; two fools I like to win honestly that's <br> what you'd like us to believe because <br>; sherlock_yack_01
[sound:sherlock_yack_01_0338.mp4] -  what you'd like us to [...] because  ; what you'd like us to believe because <br> the culprit is none other than you <br>; sherlock_yack_01
[sound:sherlock_yack_01_0340.mp4] -  the culprit is none [...] than you  ; the culprit is none other than you <br> it requires considerable strength to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0342.mp4] -  it requires [...] strength to  ; it requires considerable strength to <br> pick up the bag full of metal and hang <br>; sherlock_yack_01
[sound:sherlock_yack_01_0344.mp4] -  pick up the bag [...] of metal and hang  ; pick up the bag full of metal and hang <br> it back up to the ceiling the old horse <br>; sherlock_yack_01
[sound:sherlock_yack_01_0346.mp4] -  it back up to the [...] the old horse  ; it back up to the ceiling the old horse <br> and Chihuahua are much too weak to do it <br>; sherlock_yack_01
[sound:sherlock_yack_01_0348.mp4] -  I'm a book [...] yak bone I know you  ; I'm a book building yak bone I know you <br> Sherlock <br>; sherlock_yack_01
[sound:sherlock_yack_01_0350.mp4] -  Sherlock  ; Sherlock <br> you're nothing but yaki yak thanks for <br>; sherlock_yack_01
[sound:sherlock_yack_01_0352.mp4] -  you're [...] but yaki yak thanks for  ; you're nothing but yaki yak thanks for <br> my knee but I could have done that <br>; sherlock_yack_01
[sound:sherlock_yack_01_0354.mp4] -  my knee but I [...] have done that  ; my knee but I could have done that <br> myself it's nice to be dishonest nor to <br>; sherlock_yack_01
[sound:sherlock_yack_01_0356.mp4] -  myself it's [...] to be dishonest nor to  ; myself it's nice to be dishonest nor to <br> be a cheater yeah but this time it was <br>; sherlock_yack_01
[sound:sherlock_yack_01_0358.mp4] -  be a [...] yeah but this time it was  ; be a cheater yeah but this time it was <br> for a good cause good cause or not <br>; sherlock_yack_01
[sound:sherlock_yack_01_0360.mp4] -  for a good [...] good cause or not  ; for a good cause good cause or not <br> whoever lives by the horseshoe will be <br>; sherlock_yack_01
[sound:sherlock_yack_01_0362.mp4] -  whoever [...] by the horseshoe will be  ; whoever lives by the horseshoe will be <br> punished by the horseshoe come on guys <br>; sherlock_yack_01
[sound:sherlock_yack_01_0364.mp4] -  [...] by the horseshoe come on guys  ; punished by the horseshoe come on guys <br> don't worry there's only another 50 <br>; sherlock_yack_01
[sound:sherlock_yack_01_0366.mp4] -  don't [...] there's only another 50  ; don't worry there's only another 50 <br> George loads <br>; sherlock_yack_01
[sound:sherlock_yack_01_0368.mp4] -  you [...] Sherlock I've given it some  ; you know Sherlock I've given it some <br> thought and I don't think driving a car <br>; sherlock_yack_01
[sound:sherlock_yack_01_0370.mp4] -  [...] and I don't think driving a car  ; thought and I don't think driving a car <br> is indispensable in life uh are you sure <br>; sherlock_yack_01
[sound:sherlock_yack_01_0372.mp4] -  is indispensable in [...] uh are you sure  ; is indispensable in life uh are you sure <br> absolutely <br>; sherlock_yack_01
