note_id	english	turkish	image	example_en
125	baffled	şaşırmış, afallamış	baffled2.jpg	The police were baffled, and Sherlock Holmes was called in to investigate.
126	match	kibrit	match2.jpg	A match will set fire to a large building.
127	ugly	çirkin	ugly2.jpg	She makes me feel ugly.
128	passage	geçit	passage2.jpg	We went along a broad passage.
129	to tell lies	yalan söylemek	to_tell_lies.jpg	It was against his nature to tell lies.
130	prison	hapishane	prison2.jpg	How long should a murderer be kept in prison?
131	to realize	farkına varmak	to_tell_lies.jpg	The way to love anything is to realize that it might be lost.
132	to commit a crime	suç işlemek	to_commit_a_crime.jpg	Legal mental capacity to commit a crime is essential to criminal responsibility.
133	calm	sakin	calm2.jpg	The main thing is to stay calm.
134	to disappear	kaybolmak, yok olmak	to_disappear.jpg	They watched the bus disappear into the distance.
135	unpleasant	hoş değil	gently2.jpg	We hope to prevent anything unpleasant from happening.
136	thanks to Sherlock Holmes	Sherlock Holmes sayesinde	thanks_to_you.jpg	Everyone knows now, thanks to Ken's loose tongue.
137	to seal	mühürlemek	to_seal.jpg	
138	wax	mum	to_seal.jpg	
139	guilty	suçlu	criminal2.jpg	
