[sound:thylego02_001_gang_contratulations.mp4] <br> - [...]! Congratulations on finishing your movie; - Gang! Congratulations on finishing your movie <br> tr: - Ekip tebrikler filmi bitirdiğiniz için; lego2
[sound:thylego02_034_front_middle_rear.mp4] <br> - at the [...], center, and rear! <br> - The exit signs help you locate them! ; - at the front, center, and rear! <br> - The exit signs help you locate them!  <br> tr: önde ortada ve arkada <br> - Çıkış işaretleri onları bulmanıza yardımcı olur; lego2
[sound:thylego02_035_locate_the_nearest_signs.mp4] <br> - [...] the nearest sign, which may be behind you.; - Locate the nearest sign, which may be behind you. <br> tr: - En yakın işareti bulun. Bu sizin arkanızda da olabilir; lego2
[sound:thylego02_036_as_you_exit.mp4] <br> - As you exit, please [...] all your luggage, high heels and sharp objects behind,; - As you exit, please leave all your luggage, high heels and sharp objects behind, <br> tr: - Çıkarken lütfen tüm bavul, topuklu ve keskin objeleri arkada bırakın.; lego2
[sound:thylego02_037_moscow.mp4] <br> - Here you [...] girl!; - Here you go girl! <br> tr: - Aferin kızım; lego2
[sound:thylego02_038_your_life_vest.mp4] <br> - Your [...] vest is located here or here.; - Your life vest is located here or here. <br> tr: - Can yelekleriniz burada veya burada bulunur.; lego2
[sound:thylego02_039_circus_bears.mp4] <br> - Circus bears?  Do you [...] know anything about Moscow?; - Circus bears?  Do you actually know anything about Moscow? <br> tr: - Sirk ayıları mı? Moskova'ya dair hiçbir şey bilmiyorsun değil mi?; lego2
[sound:thylego02_040_i_admit.mp4] <br> - I [...], I did little research.; - I admit, I did little research. <br> tr: - Kabul ediyorum. Az araştırma yaptım.; lego2
[sound:thylego02_041_batman_its_time_for_you_to_leave.mp4] <br> - Batman, it’s time for you to [...].; - Batman, it’s time for you to leave. <br> tr: - Batman, gitmeniz gerekiyor.; lego2
[sound:thylego02_042_already_ready.mp4] <br> - All right, everybody. Let’s [...] this up.; - All right, everybody. Let’s wrap this up. <br> tr: - Pekiala, herkes. Bunu bitirelim.; lego2
[sound:thylego02_043_thank_you_for_your_attention.mp4] <br> - [...] you for your attention.  For more details, please read the safety card in your seat pocket.; - Thank you for your attention.  For more details, please read the safety card in your seat pocket. <br> tr: - Dikkatiniz için teşekkürler. Daha fazla ayrıntı için, lütfen koltuk ceplerinizdeki güvenlik kartlarını okuyun.; lego2
[sound:thylego02_044_enjoy_your_flight.mp4] <br> - [...] your flight!  And cut!; - Enjoy your flight!  And cut! <br> tr: - Zevkli uçuşlar! <br> - Ve kestik; lego2
[sound:thylego02_045_that_was_incredible.mp4] <br> - That was [...]!; - That was incredible! <br> tr: - Bu inanılmazdı.; lego2
[sound:thylego02_046_great_job_gang.mp4] <br> - Great job, gang!  We should [...] production on a third video... RIGHT NOW!; - Great job, gang!  We should start production on a third video... RIGHT NOW! <br> tr: - Harika iş, ekip! Üçüncü videonun çekimine başlamalıyız. Hemen şimdi. ; lego2
[sound:thylego02_047_activated.mp4] <br> - Whoa Whoaaaa...! <br> - [...] balloon activated <br> - No.Oh no...  Everyone, grab onto me! <br> - Batman, you can’t leave!  The studio needs you!; - Whoa Whoaaaa...! <br> - Escape balloon activated <br> - No.Oh no...  Everyone, grab onto me! <br> - Batman, you can’t leave!  The studio needs you! <br> tr: - Kaçış balonu etkinleştirildi. <br> - Hayır, ooo hayır. Millet, beni tutun <br> - Batman ayrılamazsın. Stüdyonun sana ihtiyacı var.; lego2
[sound:thylego02_048_put_me_down.mp4] <br> - [...] me down <br> - This is for your own safety. <br> - No, no no no.; - Put me down <br> - This is for your own safety. <br> - No, no no no. <br> tr: - Beni aşağı indirin <br> - Bu sizin güvenliğiniz için; lego2
[sound:thylego02_049_if_this.mp4] <br> - If this is a ploy for attention, it’s not [...].; - If this is a ploy for attention, it’s not working. <br> tr: - Eğer bu dikkat çekmek için bir numaraysa, işe yaramıyor; lego2
[sound:thylego02_050_this_is_against_my_will.mp4] <br> - I want to [...] out this is against my will.; - I want to point out this is against my will. <br> tr: - Belirtmek isterim ki, bu benim isteğim dışındadır.; lego2
[sound:thylego02_051_save_me.mp4] <br> - [...] me! - Bro, let go!  You’re messing up my pants; - Save me! - Bro, let go!  You’re messing up my pants <br> tr: - Kurtar beni <br> - Kardeşim, bırak beni. Pantalonlarımı bozuyorsun.; lego2
